year,region,New dwellings,Average advance (new),Average income (new),Other dwellings,Average advance (other),Average income (other),All dwellings,Average advance (all),Average income (all)
2010.0,North East,177250.0,122750.0,48000.0,160250.0,104750.0,44750.0,161500.0,106000.0,45000.0
2010.0,North West,182250.0,123250.0,46250.0,183750.0,118250.0,48000.0,183500.0,118500.0,47750.0
2010.0,Northern Ireland,203000.0,123000.0,47750.0,162000.0,103750.0,41000.0,167750.0,106500.0,42000.0
2010.0,Scotland,206250.0,131750.0,52500.0,182000.0,118500.0,49250.0,185000.0,120250.0,49750.0
2010.0,South East,265000.0,160000.0,58500.0,312250.0,183250.0,66000.0,309250.0,181750.0,65750.0
2010.0,South West,203750.0,123750.0,47500.0,241500.0,141750.0,54000.0,239750.0,141000.0,53500.0
2010.0,United Kingdom,214000.0,132000.0,51500.0,254250.0,153750.0,58500.0,251000.0,152500.0,57750.0
2010.0,Wales,177000.0,116000.0,45000.0,171000.0,109250.0,45000.0,171750.0,110000.0,45000.0
2010.0,West Midlands,187250.0,121000.0,46500.0,202250.0,125000.0,49750.0,201500.0,125000.0,49500.0
2010.0,Yorkshire and the Humber,187000.0,121750.0,47000.0,182250.0,115000.0,46750.0,182250.0,115250.0,46750.0
2011.0,East Midlands,186500.0,121500.0,47750.0,178750.0,116250.0,46250.0,178750.0,116750.0,46250.0
2011.0,East of England,248250.0,155500.0,56500.0,257250.0,158750.0,58000.0,255750.0,159000.0,57750.0
2011.0,London,300500.0,170500.0,61250.0,402000.0,243000.0,83750.0,401500.0,243750.0,83750.0
2011.0,North East,168250.0,110250.0,44250.0,152500.0,101250.0,43000.0,153250.0,102750.0,43250.0
2011.0,North West,192500.0,128250.0,49750.0,175250.0,116500.0,46250.0,175500.0,117000.0,46500.0
2011.0,Northern Ireland,158500.0,105750.0,40000.0,139250.0,94750.0,38750.0,141250.0,96500.0,39000.0
2011.0,Scotland,213000.0,140750.0,55250.0,177500.0,117750.0,49250.0,180000.0,120500.0,49750.0
2011.0,South East,290750.0,174750.0,62750.0,302250.0,182750.0,64000.0,301250.0,183250.0,64500.0
2011.0,South West,222500.0,128750.0,48750.0,233250.0,141000.0,52750.0,232000.0,140750.0,52750.0
2011.0,United Kingdom,223500.0,139500.0,52000.0,247750.0,154250.0,57000.0,245000.0,153500.0,57000.0
2011.0,Wales,182250.0,120500.0,44750.0,163000.0,106500.0,43250.0,164500.0,107750.0,44000.0
2011.0,West Midlands,193250.0,126000.0,46250.0,189000.0,121750.0,46500.0,189250.0,122250.0,47250.0
2011.0,Yorkshire and the Humber,182750.0,118750.0,45750.0,170750.0,112500.0,45500.0,171250.0,112750.0,45750.0
2012.0,East Midlands,187500.0,125750.0,46250.0,175250.0,116500.0,46000.0,176750.0,117750.0,46000.0
